Ticker,Date,Stock Price,High,Low,Close,News Count
AAPL,15/08/2024,235,236.18,234.01,232.15,221
MSFT,15/08/2024,418.16,419.65,416.2601,416.72,225
AMZN,15/08/2024,188.99,190.74,186.28,187.53,216
GOOGL,15/08/2024,163.42,164.71,163.08,162.93,228
GOOG,15/08/2024,165.05,166.3699,164.75,164.51,227
META,15/08/2024,576.47,583.9675,575.25,576.93,222
TSLA,15/08/2024,220.7,222.28,219.23,220.89,223
NVDA,15/08/2024,138,138.9,137.28,136.93,227
BRK.B,15/08/2024,464.8,467,463.25,465.85,144
V,15/08/2024,290.62,291.04,288.08,290.39,92
JNJ,15/08/2024,165.12,165.2896,163.93,164.47,115
WMT,15/08/2024,81.31,81.69,80.66,80.89,221
PG,15/08/2024,171.28,172.21,168.46,172.28,57
MA,15/08/2024,516.34,518,512.58,513.76,108
UNH,15/08/2024,569.61,570.95,563.0357,566.03,64
HD,15/08/2024,415,416.66,413.24,415.6,219
DIS,15/08/2024,97.28,97.54,96.05,96.54,223
PYPL,15/08/2024,80.94,80.97,78.94,79.82,98
VZ,15/08/2024,43.99,44.165,43.67,43.85,85
NFLX,15/08/2024,763.89,766.281,736.23,687.65,148
PFE,15/08/2024,29.22,29.365,29.08,29.27,147
KO,15/08/2024,70.44,70.55,69.605,69.9,120
MRK,15/08/2024,108.7,109.92,108.555,109.75,122
INTC,15/08/2024,22.77,22.82,22.5,22.44,212
T,15/08/2024,21.85,22.06,21.63,21.73,71
XOM,15/08/2024,120.01,120.64,119.15,120.35,202
CVX,15/08/2024,150.75,151.08,149.375,151.2,212
NKE,15/08/2024,82.92,83.95,82.63,83.4,136
MCD,15/08/2024,316.56,317.18,314.2299,314.7,106
SBUX,15/08/2024,96.84,96.85,95.04,95.27,234
IBM,15/08/2024,232.2,232.6499,230.17,232.88,68
ORCL,15/08/2024,174.69,176.97,174.58,175.68,76
AMD,15/08/2024,155.97,158.01,155.56,156.25,204
BA,15/08/2024,155,156.37,153.9,155.31,219
CAT,15/08/2024,393.86,396.45,389.72,394.49,142
CSCO,15/08/2024,56.76,56.87,56.21,56.4,191
ABBV,15/08/2024,188.86,189.69,188.164,188.57,68
CMCSA,15/08/2024,41.93,42.37,41.87,42.23,84
WBA,15/08/2024,10.79,10.89,10.3215,10.66,73
HON,15/08/2024,222.02,222.07,217.72,219.55,27
QCOM,15/08/2024,170.92,172.58,169.42,171.1,157
SPG,15/08/2024,176.92,177.08,173.34,174.35,62
MO,15/08/2024,49.61,49.72,48.86,49.74,55
CL,15/08/2024,100.46,100.54,98.76,100.53,44
GIS,15/08/2024,69.93,70.6,69.64,70.68,33
MDLZ,15/08/2024,71.58,71.78,70.92,71.12,54
ADBE,15/08/2024,494.9,499,491.0501,496.83,57
CRM,15/08/2024,292.94,294.71,290.15,291.11,70
TSM,15/08/2024,200.78,205.95,200.76,205.84,188
LLY,15/08/2024,917.97,920.9199,905.62,917.12,213
TXN,15/08/2024,198.47,199.96,196.735,198.3,45
GS,15/08/2024,528.5,530.765,526.87,529,210
JPM,15/08/2024,225.37,225.92,223.1,224.42,166
BAC,15/08/2024,42.32,42.645,42.11,42.6,159
C,15/08/2024,62.85,64.12,62.725,63.97,96
WFC,15/08/2024,64.36,64.78,63.825,64.38,69
SCHW,15/08/2024,71.36,72.61,71.19,71.91,89
MS,15/08/2024,121.06,121.12,119.11,119.44,85
BLK,15/08/2024,1007.02,1009.48,998.38,1002.5,62
SPGI,15/08/2024,524.8,525.58,520.88,518.96,71
MCO,15/08/2024,488.46,489.01,483.962,486.11,24
ADP,15/08/2024,292.29,292.76,290.24,291.96,37
PLD,15/08/2024,122.5,123.35,121.61,122.7,47
TGT,15/08/2024,156.84,157.07,154.7144,155.89,78
LOW,15/08/2024,281.64,282.3799,279.09,281.31,59
BKNG,15/08/2024,4350.82,4377.77,4334.5,4370.77,123
EXPE,15/08/2024,159.61,160.47,156.6659,158.01,139
PEP,15/08/2024,175.06,175.33,172.12,174.67,82
COST,15/08/2024,889.56,890.61,883.75,885.29,161
ABT,15/08/2024,119.39,119.85,117.67,117.89,65
BMY,15/08/2024,53.22,53.33,52.335,53.18,80
UPS,15/08/2024,135.93,136.45,135.185,135.41,48
FDX,15/08/2024,274.4,276.12,272.51,274.26,43
LMT,15/08/2024,611.81,613.3699,608.49,609.62,97
RTX,15/08/2024,125.92,126.27,125.035,125.75,57
GD,15/08/2024,308.48,310.58,307.61,308.23,40
NOC,15/08/2024,530.79,530.93,525.6,527.97,39
AMGN,15/08/2024,321.66,322.56,319.18,321.33,152
REGN,15/08/2024,990.68,1002.69,989.77,998.23,71
ILMN,15/08/2024,146.07,146.27,142.9,143.52,84
ISRG,15/08/2024,521.15,523.34,495,473.73,42
GILD,15/08/2024,86.72,87.17,86.01,87.36,122
MDT,15/08/2024,92.24,92.25,89.84,89.79,67
BSX,15/08/2024,88.07,88.705,85.5,86.42,42
ZTS,15/08/2024,193.28,193.49,190.5,191,65
VRTX,15/08/2024,483,498.63,480.79,498.73,103
ALGN,15/08/2024,219.7,219.71,215.18,216.02,10
EW,15/08/2024,70.27,70.42,68.59,68.47,20
DHR,15/08/2024,274.38,275.51,271.31,271.98,22
TMO,15/08/2024,601.71,604.39,595.56,599.25,27
PH,15/08/2024,640.44,640.96,634.19,639.84,70
ITW,15/08/2024,261.03,261.95,259.63,260.66,20
MMM,15/08/2024,135.14,136.12,134.29,135.68,32
DD,15/08/2024,85.09,85.58,84.8007,85.24,31
FMC,15/08/2024,62.69,62.96,62,62.52,31
APD,15/08/2024,332.1,332.17,328.04,328.77,57
LIN,15/08/2024,486.45,487.275,481.51,486.06,54
F,15/08/2024,11.1,11.17,11.04,11.07,148
GM,15/08/2024,49.18,49.75,49.095,49.38,103
STLA,15/08/2024,13.28,13.3,13.17,13,97
RIVN,15/08/2024,10.04,10.265,10.01,10.12,159
LCID,15/08/2024,2.63,2.72,2.55,2.69,92
NIO,15/08/2024,5.22,5.49,5.18,5.15,39
LI,15/08/2024,25.25,25.54,24.7901,23.75,42
XPEV,15/08/2024,10.49,10.98,10.44,10.22,34
RACE,15/08/2024,482.35,484.47,479.43,482.32,49
HMC,15/08/2024,30.96,31.04,30.87,30.98,59
TM,15/08/2024,171.53,171.925,170.6924,171.2,84
SONY,15/08/2024,18.22,18.24,18.08,18.51,63
NVS,15/08/2024,117.18,117.36,116.29,116.51,50
AZN,15/08/2024,78.26,78.3,77.57,78.02,85
GSK,15/08/2024,38.55,38.84,38.38,38.96,63
SNY,15/08/2024,54.93,55.04,54.33,54.86,36
BP,15/08/2024,31.33,31.41,31.0901,31.32,57
SHEL,15/08/2024,67.04,67.17,66.57,67.34,84
PLUG,15/08/2024,2.24,2.25,2.04,2.04,68
ENB,15/08/2024,41.98,41.99,41.6125,41.84,64
CNQ,15/08/2024,35.56,35.72,35.11,35.7,30
SU,15/08/2024,39.1,39.22,38.52,38.98,57
EOG,15/08/2024,126.62,127,125.455,127.04,62
PSX,15/08/2024,132.6,133.92,131.75,133.35,34
MPC,15/08/2024,158.3,159.22,156.95,158.31,56
KMI,15/08/2024,24.95,24.98,24.655,24.82,38
WMB,15/08/2024,52.36,52.44,51.34,51.54,54
OXY,15/08/2024,51.66,51.83,51.1,51.72,151
SLB,15/08/2024,41.92,44.09,41.89,43.99,15
HAL,15/08/2024,28.33,28.825,28.245,28.94,12
BKR,15/08/2024,36.4,36.9433,35.985,36.88,33
EQT,15/08/2024,36.49,37.08,36.01,37.06,36
VEEV,15/08/2024,221.32,223.29,217.66,217.02,13
DVN,15/08/2024,40.66,40.69,40.08,40.58,85
RIG,15/08/2024,4.24,4.26,4.12,4.26,16
CHK,15/08/2024,86.66,87.5,86.05,87.57,17
HES,15/08/2024,139.42,139.9,137.8,139.46,39
APA,15/08/2024,25.16,25.185,24.665,24.92,36
VLO,15/08/2024,137.04,137.57,135.52,136.65,20
NEE,15/08/2024,84.38,84.41,83.55,83.78,55
DUK,15/08/2024,120.76,120.85,119.62,120.58,96
SO,15/08/2024,93.24,93.345,92.02,92.7,54
AEP,15/08/2024,100.69,100.84,99.76,100.91,32
ED,15/08/2024,106.76,106.77,105.26,105.66,36
D,15/08/2024,59.92,60,59.14,59.74,60
EXC,15/08/2024,40.95,41.135,40.45,40.77,44
PCG,15/08/2024,20.38,20.39,20.17,20.28,21
EIX,15/08/2024,85.43,85.5,84.115,84.64,13
PEG,15/08/2024,89.76,90.09,89.1,89.7,26
FE,15/08/2024,43.66,43.855,43.3,43.49,35
XEL,15/08/2024,64.07,64.68,62.92,63.25,31
SRE,15/08/2024,85.96,86.13,84.6292,85.49,45
ES,15/08/2024,66.13,66.495,64.78,65,17
ATO,15/08/2024,143.26,143.88,142.38,143.76,42
O,15/08/2024,64.71,64.765,63.62,63.96,106
WELL,15/08/2024,132.24,132.27,130.72,130.74,29
VTR,15/08/2024,65.55,65.6,64.34,64.35,44
AMT,15/08/2024,226.3,227.06,224.19,224.16,45
CCI,15/08/2024,112.38,113.025,110.6,111.75,27
PLTR,15/08/2024,42.97,42.99,41.65,42,225
SNAP,15/08/2024,10.49,10.645,10.42,10.46,128
TWLO,15/08/2024,70.85,71.5,70.08,70.21,84
ZM,15/08/2024,70.52,70.74,70.15,70.2,19
DOCU,15/08/2024,72.3,73.19,72.1,72.5,16
U,15/08/2024,22.11,22.14,21.3,21.27,71
RBLX,15/08/2024,39.93,40.155,39.3,39.86,100
DKNG,15/08/2024,38.46,39.35,38.12,37.65,133
SPOT,15/08/2024,378.88,384.21,369.42,366.75,63
SQ,15/08/2024,74.66,74.94,72.708,73.68,98
LYFT,15/08/2024,13.99,14.07,13.5675,13.62,110
UBER,15/08/2024,79.16,80.55,78.8,79.9,221
DASH,15/08/2024,151.98,152.525,150.34,151.4,85
PTON,15/08/2024,5.84,6.185,5.35,5.27,21
BYND,15/08/2024,6.39,6.46,6.28,6.36,57
CRWD,15/08/2024,310.15,313.88,306.81,310.34,214
ZS,15/08/2024,190.01,191.61,187.54,188.76,25
OKTA,15/08/2024,74.82,75.08,74.02,74.45,22
NET,15/08/2024,90.8,91.49,90.11,90.4,75
FSLY,15/08/2024,7.32,7.45,7.22,7.2,64
DDOG,15/08/2024,128.12,130.17,127.19,126.22,115
MDB,15/08/2024,275.54,276.88,271.09,271.87,33
TEAM,15/08/2024,191.7,193.88,186.53,188.5,71
SHOP,15/08/2024,82.68,82.949,82.03,81.63,183
ETSY,15/08/2024,51.56,51.58,50.59,50.75,68
W,15/08/2024,52.21,53.97,51.95,52.57,74
CHWY,15/08/2024,29.05,29.427,28.23,29.32,31
AFRM,15/08/2024,44.54,45.1286,42.52,43.93,14
ROKU,15/08/2024,80.07,80.2,78.24,76.95,77
SE,15/08/2024,98.9,100.44,98.4,98.96,89
MELI,15/08/2024,2079.79,2088.33,2046.67,2065.87,95
JD,15/08/2024,39.98,40.98,39.56,38.85,91
BABA,15/08/2024,102.43,103.365,101.66,100.07,148
BIDU,15/08/2024,94.39,95.95,94.04,92.11,48
PDD,15/08/2024,124.62,128.5989,123.96,123.63,65
NTES,15/08/2024,82.42,84.57,82.251,79.73,12
TCEHY,15/08/2024,55.04,55.44,55.01,52.74,66
Z,15/08/2024,63.71,64.1,61.82,62.63,85
FVRR,15/08/2024,22.38,22.775,21.9,22.64,29
UPST,15/08/2024,53.13,54.3,51.66,52.05,90
DOCS,15/08/2024,43.5,43.545,42.82,42.86,70
MTCH,15/08/2024,38.43,38.625,38.055,38.03,36
HIMS,15/08/2024,22.15,22.16,21.1,21.56,44
APPN,15/08/2024,31.47,32.2,30.64,30.81,38
